"id","state","year","count","rate"
"12","Florida",2003,48141,217.3
"12","Florida",2004,47160,208.7
"12","Florida",2005,46279,200
"12","Florida",2006,44305,187.9
"12","Florida",2007,42254,175.8
"12","Florida",2008,42067,170.8
"12","Florida",2009,41274,163.8
"12","Florida",2010,41737,162.3
"12","Florida",2011,40919,153.1
"12","Florida",2012,42125,153
"12","Florida",2013,42656,149.8
"12","Florida",2014,44511,151.3
"12","Florida",2015,45441,149.8
"13","Georgia",1999,17597,282.8
"13","Georgia",2000,17406,276
"13","Georgia",2001,17478,271.4
"13","Georgia",2002,17529,265.8
"13","Georgia",2003,17188,255.2
"13","Georgia",2004,16557,240.3
"13","Georgia",2005,16781,236
"13","Georgia",2006,16478,222.2
"13","Georgia",2007,16184,212
"13","Georgia",2008,15721,199.1
"13","Georgia",2009,16165,198.5
"13","Georgia",2010,15987,192.6
"13","Georgia",2011,15773,182.5
"13","Georgia",2012,15825,177.6
"13","Georgia",2013,16550,178.7
"13","Georgia",2014,17107,179.7
"13","Georgia",2015,17769,180.2
"15","Hawaii",1999,2410,201.7
"15","Hawaii",2000,2390,195
"15","Hawaii",2001,2310,181.7
"15","Hawaii",2002,2512,191.8
"15","Hawaii",2003,2461,182.2
"15","Hawaii",2004,2457,176.6
"15","Hawaii",2005,2319,160.9
"15","Hawaii",2006,2244,151.4
"15","Hawaii",2007,2227,146.7
"15","Hawaii",2008,2313,147.7
"15","Hawaii",2009,2363,146.6
"15","Hawaii",2010,2239,134.7
"15","Hawaii",2011,2312,132.9
"15","Hawaii",2012,2430,135.2
"15","Hawaii",2013,2521,139
"15","Hawaii",2014,2528,136.7
"15","Hawaii",2015,2605,135.6
"16","Idaho",1999,2532,220.5
"16","Idaho",2000,2519,215.2
"16","Idaho",2001,2489,207
"16","Idaho",2002,2532,205.2
"16","Idaho",2003,2566,202.1
"16","Idaho",2004,2450,188.6
"16","Idaho",2005,2450,182.6
"16","Idaho",2006,2399,171.3
"16","Idaho",2007,2433,167.9
"16","Idaho",2008,2330,157.1
"16","Idaho",2009,2398,155.7
"16","Idaho",2010,2495,159.3
"16","Idaho",2011,2522,155.9
"16","Idaho",2012,2515,150.9
"16","Idaho",2013,2495,145.4
"16","Idaho",2014,2676,152.8
"16","Idaho",2015,2825,156.4
"17","Illinois",1999,33387,279.1
"17","Illinois",2000,31844,263.7
"17","Illinois",2001,30990,253.8
"17","Illinois",2002,30821,250.2
"17","Illinois",2003,29816,239.2
"17","Illinois",2004,28284,224.3
"17","Illinois",2005,28226,220.7
"17","Illinois",2006,27007,208.5
"17","Illinois",2007,25813,196
"17","Illinois",2008,26078,195.1
"17","Illinois",2009,24931,184
"17","Illinois",2010,24959,181.7
"17","Illinois",2011,24987,178.1
"17","Illinois",2012,24667,172.7
"17","Illinois",2013,24839,170.9
"17","Illinois",2014,25024,169.7
"17","Illinois",2015,25652,171.5
"18","Indiana",1999,16661,282.5
"18","Indiana",2000,16210,272.3
"18","Indiana",2001,15682,259.8
"18","Indiana",2002,15321,250.9
"18","Indiana",2003,15467,249.4
"18","Indiana",2004,14636,233.2
